workerid,proliferate.condition,accuracy,accuracy_bool,condition,correct_img,correct_key,correct_response,hidden_img,img_selected,internal_node_id,question_order,response,rt,stimulus,time_elapsed,trial,trial_index,trial_type,error
968,lc_lc,False,0,lc_lc,,f,off,blicket_images/dc.jpg,,0.0-6.0,,j,3712,blicket_images/dc.jpg,92691,blicket,10,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/ls.jpg,,0.0-8.0,,f,1507,blicket_images/ls.jpg,95074,blicket,12,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/ds.jpg,,0.0-10.0,,f,2347,blicket_images/ds.jpg,98418,blicket,14,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/dc.jpg,,0.0-12.0,,f,1998,blicket_images/dc.jpg,101079,blicket,16,image-keyboard-response,
968,lc_lc,False,0,lc_lc,,f,off,blicket_images/ls.jpg,,0.0-14.0,,j,855,blicket_images/ls.jpg,102517,blicket,18,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,j,on,blicket_images/lc.jpg,,0.0-16.0,,j,925,blicket_images/lc.jpg,104299,blicket,20,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/dc.jpg,,0.0-18.0,,f,853,blicket_images/dc.jpg,105785,blicket,22,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/ds.jpg,,0.0-20.0,,f,964,blicket_images/ds.jpg,107366,blicket,24,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,j,on,blicket_images/lc.jpg,,0.0-22.0,,j,1130,blicket_images/lc.jpg,109072,blicket,26,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/dc.jpg,,0.0-24.0,,f,929,blicket_images/dc.jpg,112337,blicket,28,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/ls.jpg,,0.0-26.0,,f,1076,blicket_images/ls.jpg,114071,blicket,30,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,j,on,blicket_images/lc.jpg,,0.0-28.0,,j,1320,blicket_images/lc.jpg,115916,blicket,32,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/ds.jpg,,0.0-30.0,,f,1622,blicket_images/ds.jpg,118002,blicket,34,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/ls.jpg,,0.0-32.0,,f,1365,blicket_images/ls.jpg,119677,blicket,36,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,f,off,blicket_images/ds.jpg,,0.0-34.0,,f,815,blicket_images/ds.jpg,121030,blicket,38,image-keyboard-response,
968,lc_lc,True,1,lc_lc,,j,on,blicket_images/lc.jpg,,0.0-36.0,,j,946,blicket_images/lc.jpg,122534,blicket,40,image-keyboard-response,
968,lc_lc,True,1,lc_lc,blicket_images/lc.jpg,,lc,,blicket_images/lc.jpg,0.0-37.0,,lc,8331,"Which of these options shows the image from the last trial, that you just saw?",130867,pop_quiz,41,html-button-response,
