prolific_id,ramp_orientation,ramp_or_cube,orientation,predicted_further,predicted_direction,response,ramp_color,cube_color,feature,orientation_flip,guess,motion_mechanism,outcome_line,repeat_prior,memory_generic
6664e8eb5e7fda71dc535c83,forward,cube,reversed,blue,left,"Again, I thought the blue ramp had less friction based on what happened during the trials with the blue and yellow ramps.",True,False,ramp_feature,False,False,True,False,False,False
6664e8eb5e7fda71dc535c83,forward,cube,reversed,black,left,"Again, I thought the black cubes had less fraction as they consistently traveled further in the trials.",False,True,cube_feature,False,False,False,False,False,True
668d3d0bb11ce5c374111e9a,backward,cube,consistent,blue,right,"From the past images I predicted, the one that came with the bonusses. This was where I learnt this from",False,False,neither,False,False,False,False,False,False
668d3d0bb11ce5c374111e9a,backward,cube,consistent,black,left,"The red cube was in front of the black cube, sliding back, the black cube will go back more than the red cube",False,True,cube_feature,False,False,False,False,False,False
668d3d0bb11ce5c374111e9a,backward,cube,reversed,red,left,Due to how the cube was placed on the slide,False,False,neither,False,False,True,False,False,False
668d3d0bb11ce5c374111e9a,backward,cube,reversed,yellow,left,Due to how the cubes was placed on the side,False,False,neither,False,False,False,False,False,False
5fc4a8a649c0c8912b02979c,forward,cube,consistent,red,right,The red one went farther than the black cube,False,True,cube_feature,False,False,False,False,False,False
5fc4a8a649c0c8912b02979c,forward,cube,consistent,blue,right,The ramps with similar colors in previous questions made cubes go different distances,False,False,neither,False,False,False,False,False,False
5fc4a8a649c0c8912b02979c,forward,cube,reversed,yellow,left,Same as the last one,False,False,neither,False,False,False,False,True,False
5fc4a8a649c0c8912b02979c,forward,cube,reversed,red,left,The red cube has previously gone farther,False,True,cube_feature,False,False,False,False,False,False
5f9a0b386a200211eea8e2ed,backward,cube,consistent,red,right,Red always went further in the previous trials,False,True,cube_feature,False,False,False,False,False,True
5f9a0b386a200211eea8e2ed,backward,cube,consistent,blue,right,Yellow ramp seems to launch the cubes short,True,False,ramp_feature,False,False,True,False,False,False
5f9a0b386a200211eea8e2ed,backward,cube,reversed,blue,left,Yellow launches shorter,True,False,ramp_feature,False,False,True,False,False,False
5f9a0b386a200211eea8e2ed,backward,cube,reversed,red,left,Red always goes further,False,True,cube_feature,False,False,False,False,False,False
665c989703b2609ce0e958ad,forward,cube,consistent,black,right,because the black cube always ended up over the line. and the red cube behind the line. ,False,True,cube_feature,False,False,False,True,False,False
665c989703b2609ce0e958ad,forward,cube,consistent,yellow,right,Because one of those cube is still red and one is black in my mind. ,False,True,cube_feature,False,False,False,False,False,False
665c989703b2609ce0e958ad,forward,cube,reversed,blue,right,Because I still see one as black and one as red. so I put one as close to over the line as possible. ,False,True,cube_feature,False,False,False,True,False,False
665c989703b2609ce0e958ad,forward,cube,reversed,black,right,Same thing as before. Black needs to be over the line or as close to as possible.,False,True,cube_feature,False,False,False,True,True,False
5ce4c8341bf7c9000150592e,forward,ramp,consistent,black,left,"I judged these images more on the base of the triangle, so this was simply a guess for me. ",False,False,neither,False,True,False,False,False,False
5ce4c8341bf7c9000150592e,forward,ramp,consistent,yellow,right,"I knew the yellow side would get further than the blue, so I went with the cube on the yellow side that had gone the furthest to the line. ",True,False,ramp_feature,False,False,False,True,False,False
5ce4c8341bf7c9000150592e,forward,ramp,reversed,black,left,"This was a guess because I didn't figure out the pattern for the block colors, so I assumed black went further. ",False,True,cube_feature,False,True,False,False,False,False
5ce4c8341bf7c9000150592e,forward,ramp,reversed,yellow,left,I always think that the yellow side would make the cube go further than the blue side. ,True,False,ramp_feature,False,False,False,False,False,False
603e86969a3fd3ec23e64a13,forward,ramp,consistent,blue,left,I made a wrong selection,False,False,neither,False,False,False,False,False,False
603e86969a3fd3ec23e64a13,forward,ramp,consistent,red,right,It was mostly a guess,False,False,neither,False,True,False,False,False,False
603e86969a3fd3ec23e64a13,forward,ramp,reversed,blue,right,Wrong selection,False,False,neither,False,False,False,False,False,False
