workerid,proliferate.condition,accuracy,accuracy_bool,accuracy_finish_line,choices,condition,correct,correct_response,crosses,end_posision,end_position,internal_node_id,question_order,response,rt,selected_position,stimulus,surprise_setup,time_elapsed,trial,trial_index,trial_type,error
1577,3_ramp_blue,,0,,,3,False,No,False,,0,0.0-5.0-0.0,,Yes,2129,,stimuli/hb_hy_r_first.jpg,,26967,prediction_trial,7,image-button-response,
1577,3_ramp_blue,,1,,,3,True,Yes,True,,3,0.0-6.0-0.0,,Yes,2128,,stimuli/lr_lb_r_first.jpg,,37940,prediction_trial,10,image-button-response,
1577,3_ramp_blue,,0,,,3,False,No,False,,2,0.0-7.0-0.0,,Yes,1795,,stimuli/hb_lb_r_first.jpg,,48999,prediction_trial,13,image-button-response,
1577,3_ramp_blue,,0,,,3,False,No,False,,0,0.0-8.0-0.0,,Yes,1907,,stimuli/hb_hy_r_first.jpg,,59863,prediction_trial,16,image-button-response,
1577,3_ramp_blue,,1,,,3,True,Yes,True,,3,0.0-9.0-0.0,,Yes,1009,,stimuli/lr_lb_r_first.jpg,,72471,prediction_trial,19,image-button-response,
1577,3_ramp_blue,,0,,,3,False,No,False,,0,0.0-10.0-0.0,,Yes,2123,,stimuli/hb_hy_r_first.jpg,,83840,prediction_trial,22,image-button-response,
1577,3_ramp_blue,,0,,,3,False,No,False,,1,0.0-11.0-0.0,,Yes,1250,,stimuli/lr_hy_r_first.jpg,,93670,prediction_trial,25,image-button-response,
1577,3_ramp_blue,,0,,,3,False,No,False,,2,0.0-12.0-0.0,,Yes,2634,,stimuli/hb_lb_r_first.jpg,,104888,prediction_trial,28,image-button-response,
1577,3_ramp_blue,,1,,,3,True,Yes,True,,3,0.0-13.0-0.0,,Yes,1409,,stimuli/lr_lb_r_first.jpg,,115181,prediction_trial,31,image-button-response,
1577,3_ramp_blue,,0,,,3,False,No,False,,1,0.0-14.0-0.0,,Yes,1414,,stimuli/lr_hy_r_first.jpg,,125493,prediction_trial,34,image-button-response,
