trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,8.988683066588036e-09,3.109362458054682e-09,8.773597508609197e-07,1.0188751245586081e-06
trial_a,agent,8.988683066588036e-09,3.109362458054682e-09,8.773597508609197e-07,1.0188751245586081e-06
trial_a,ramp,2.197048286087142e-06,1.8161687554477847e-06,6.8299587452399886e-12,9.902403491458006e-11
trial_b,physics,1.298640785258859e-07,1.1917349490874235e-07,4.774354920450131e-07,4.761797532764793e-07
trial_b,agent,1.298640785258859e-07,1.1917349490874235e-07,4.774354920450131e-07,4.761797532764793e-07
trial_b,ramp,3.676178221268657e-07,3.691013060778403e-07,1.2967373549972317e-07,1.3816100913914707e-07
trial_c,physics,1.018875124558608e-06,8.773597508609197e-07,3.1093624580546787e-09,8.988683066588031e-09
trial_c,agent,9.902403491458031e-11,6.829958745240054e-12,1.816168755447784e-06,2.1970482860871414e-06
trial_c,ramp,9.902403491458031e-11,6.829958745240054e-12,1.816168755447784e-06,2.1970482860871414e-06
trial_d,physics,4.761797532764793e-07,4.774354920450131e-07,1.1917349490874235e-07,1.298640785258859e-07
trial_d,agent,1.3816100913914707e-07,1.2967373549972317e-07,3.691013060778403e-07,3.676178221268656e-07
trial_d,ramp,1.3816100913914707e-07,1.2967373549972317e-07,3.691013060778403e-07,3.676178221268656e-07
