trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,2.2707992623479402e-09,9.916210280507458e-10,1.156830135745244e-06,1.3542197792541012e-06
trial_a,agent,2.2707992623479402e-09,9.916210280507458e-10,1.156830135745244e-06,1.3542197792541012e-06
trial_a,ramp,2.4740561124199015e-06,2.0533417456040717e-06,6.791062207825753e-13,8.616182621299316e-12
trial_b,physics,6.788950189904818e-26,9.557632889606392e-28,8.547934883513255e-06,7.2638872146408105e-06
trial_b,agent,6.788950189904818e-26,9.557632889606392e-28,8.547934883513255e-06,7.2638872146408105e-06
trial_b,ramp,5.455862607677001e-06,5.86803360687651e-06,2.021886810999055e-16,1.5452289939112353e-15
trial_c,physics,1.3542197792541014e-06,1.1568301357452444e-06,9.91621028050746e-10,2.2707992623479444e-09
trial_c,agent,8.616182621299277e-12,6.791062207825735e-13,2.0533417456040713e-06,2.4740561124199015e-06
trial_c,ramp,8.616182621299277e-12,6.791062207825735e-13,2.0533417456040713e-06,2.4740561124199015e-06
trial_d,physics,7.263887214640824e-06,8.547934883513255e-06,9.557632889606104e-28,6.78895018990465e-26
trial_d,agent,1.5452289939112438e-15,2.0218868109990677e-16,5.8680336068765145e-06,5.455862607677005e-06
trial_d,ramp,1.5452289939112438e-15,2.0218868109990677e-16,5.8680336068765145e-06,5.455862607677005e-06
