trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,9.555637605239714e-09,6.677664252088255e-09,1.013103082860252e-06,1.1162340502923516e-06
trial_a,agent,9.555637605239714e-09,6.677664252088255e-09,1.013103082860252e-06,1.1162340502923516e-06
trial_a,ramp,1.1516429623237408e-06,1.0869705238581581e-06,5.149526544311148e-09,8.351530591201874e-09
trial_b,physics,2.1756350080841246e-29,1.4613264639970532e-29,8.894736055053731e-06,7.57236389721798e-06
trial_b,agent,2.1756350080841246e-29,1.4613264639970532e-29,8.894736055053731e-06,7.57236389721798e-06
trial_b,ramp,6.820807070195448e-06,7.639336803627167e-06,2.857468779565643e-26,2.280510667470769e-26
trial_c,physics,1.116234050292352e-06,1.013103082860252e-06,6.677664252088264e-09,9.555637605239723e-09
trial_c,agent,8.351530591201869e-09,5.149526544311145e-09,1.0869705238581586e-06,1.1516429623237414e-06
trial_c,ramp,8.351530591201869e-09,5.149526544311145e-09,1.0869705238581586e-06,1.1516429623237414e-06
trial_d,physics,7.572363897217977e-06,8.89473605505374e-06,1.4613264639970266e-29,2.1756350080841013e-29
trial_d,agent,2.2805106674708297e-26,2.857468779565716e-26,7.639336803627164e-06,6.820807070195444e-06
trial_d,ramp,2.2805106674708297e-26,2.857468779565716e-26,7.639336803627164e-06,6.820807070195444e-06
