trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,5.504515012294954e-08,5.210998133419137e-08,7.713332183523513e-08,7.782603588387166e-08
trial_a,agent,5.504515012294954e-08,5.210998133419137e-08,7.713332183523513e-08,7.782603588387166e-08
trial_a,ramp,2.1276287242628955e-07,2.0867273001303997e-07,3.801028527777725e-08,5.7241656373895715e-08
trial_b,physics,1.5897362367854027e-07,1.5647233858770498e-07,3.524121235347539e-07,3.509930246363513e-07
trial_b,agent,1.5897362367854027e-07,1.5647233858770498e-07,3.524121235347539e-07,3.509930246363513e-07
trial_b,ramp,3.0615098076785144e-07,3.086366793320469e-07,1.5749947855867534e-07,1.5917818030206202e-07
trial_c,physics,7.782603588387166e-08,7.713332183523513e-08,5.210998133419137e-08,5.504515012294955e-08
trial_c,agent,5.7241656373895715e-08,3.801028527777723e-08,2.0867273001304e-07,2.1276287242628952e-07
trial_c,ramp,5.7241656373895715e-08,3.801028527777723e-08,2.0867273001304e-07,2.1276287242628952e-07
trial_d,physics,3.509930246363513e-07,3.524121235347539e-07,1.564723385877049e-07,1.5897362367854027e-07
trial_d,agent,1.5917818030206205e-07,1.574994785586754e-07,3.0863667933204693e-07,3.0615098076785155e-07
trial_d,ramp,1.5917818030206205e-07,1.574994785586754e-07,3.0863667933204693e-07,3.0615098076785155e-07
