trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,3.097392275040519e-08,3.036389572895679e-08,3.653112349192559e-08,3.665405530102345e-08
trial_a,agent,3.097392275040519e-08,3.036389572895679e-08,3.653112349192559e-08,3.665405530102345e-08
trial_a,ramp,7.534329961160922e-08,7.503946722102826e-08,4.908720801505866e-08,5.2720411396067544e-08
trial_b,physics,8.772514211309071e-10,4.4468488832490723e-10,2.402589761352416e-06,2.3252976210446574e-06
trial_b,agent,8.772514211309071e-10,4.4468488832490723e-10,2.402589761352416e-06,2.3252976210446574e-06
trial_b,ramp,1.1137370119418565e-06,1.1343715528866385e-06,3.0652576536740685e-08,3.445852295543883e-08
trial_c,physics,3.665405530102345e-08,3.6531123491925595e-08,3.036389572895679e-08,3.097392275040519e-08
trial_c,agent,5.2720411396067544e-08,4.908720801505867e-08,7.503946722102826e-08,7.534329961160922e-08
trial_c,ramp,5.2720411396067544e-08,4.908720801505867e-08,7.503946722102826e-08,7.534329961160922e-08
trial_d,physics,2.3252976210446583e-06,2.402589761352416e-06,4.4468488832490604e-10,8.77251421130906e-10
trial_d,agent,3.4458522955438815e-08,3.065257653674071e-08,1.1343715528866385e-06,1.1137370119418565e-06
trial_d,ramp,3.4458522955438815e-08,3.065257653674071e-08,1.1343715528866385e-06,1.1137370119418565e-06
