trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,1.6149035737850468e-134,1.1662618808383624e-169,2.373665597866813e-06,2.191874403139369e-05
trial_a,agent,1.6149035737850468e-134,1.1662618808383624e-169,2.373665597866813e-06,2.191874403139369e-05
trial_a,ramp,3.9649513148141796e-05,3.1662015687564017e-06,0.0,7.249066924534962e-264
trial_b,physics,1.905795586117497e-142,2.0752376856266335e-145,1.411681618953357e-05,1.0464732640247857e-05
trial_b,agent,1.905795586117497e-142,2.0752376856266335e-145,1.411681618953357e-05,1.0464732640247857e-05
trial_b,ramp,1.008344052425664e-05,1.2462122445239619e-05,2.042891593524603e-125,2.339426014126202e-125
trial_c,physics,2.1918744031393685e-05,2.3736655978668093e-06,1.1662618808383654e-169,1.614903573785208e-134
trial_c,agent,7.249066924534183e-264,0.0,3.1662015687564013e-06,3.964951314814182e-05
trial_c,ramp,7.249066924534183e-264,0.0,3.1662015687564013e-06,3.964951314814182e-05
trial_d,physics,1.0464732640247857e-05,1.4116816189533572e-05,2.0752376856264663e-145,1.9057955861173838e-142
trial_d,agent,2.3394260141262611e-125,2.0428915935247095e-125,1.246212244523963e-05,1.0083440524256655e-05
trial_d,ramp,2.3394260141262611e-125,2.0428915935247095e-125,1.246212244523963e-05,1.0083440524256655e-05
