trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,3.7022352505726345e-47,1.970514188726363e-57,2.07645791245647e-06,1.5646484460271554e-05
trial_a,agent,3.7022352505726345e-47,1.970514188726363e-57,2.07645791245647e-06,1.5646484460271554e-05
trial_a,ramp,3.229054048584651e-05,2.6523402480257535e-06,7.31433385650815e-127,3.176010993274077e-99
trial_b,physics,1.5807908146500347e-12,5.481943988532416e-13,5.26107088004844e-06,4.998636275577745e-06
trial_b,agent,1.5807908146500347e-12,5.481943988532416e-13,5.26107088004844e-06,4.998636275577745e-06
trial_b,ramp,3.6100753980291946e-06,3.7743209539269193e-06,3.006105015710128e-11,4.060922742606146e-11
trial_c,physics,1.5646484460271554e-05,2.0764579124564688e-06,1.970514188726314e-57,3.7022352505725576e-47
trial_c,agent,3.1760109932739863e-99,7.314333856508678e-127,2.6523402480257654e-06,3.229054048584649e-05
trial_c,ramp,3.1760109932739863e-99,7.314333856508678e-127,2.6523402480257654e-06,3.229054048584649e-05
trial_d,physics,4.998636275577749e-06,5.26107088004844e-06,5.481943988532371e-13,1.5807908146500244e-12
trial_d,agent,4.0609227426061536e-11,3.006105015710134e-11,3.77432095392692e-06,3.6100753980291962e-06
trial_d,ramp,4.0609227426061536e-11,3.006105015710134e-11,3.77432095392692e-06,3.6100753980291962e-06
