trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,1.6955827054351174e-08,1.6861080223166226e-08,1.8554781574197166e-08,1.8582178209476887e-08
trial_a,agent,1.6955827054351174e-08,1.6861080223166226e-08,1.8554781574197166e-08,1.8582178209476887e-08
trial_a,ramp,2.6554398767311485e-08,2.6529621001808804e-08,2.328411670910149e-08,2.3463884085901678e-08
trial_b,physics,1.7524043014467672e-07,1.7243408778442757e-07,3.7302051988366227e-07,3.7147089048425517e-07
trial_b,agent,1.7524043014467672e-07,1.7243408778442757e-07,3.7302051988366227e-07,3.7147089048425517e-07
trial_b,ramp,3.6177192799697386e-07,3.6572694800482436e-07,1.8632348929270038e-07,1.8700079052361793e-07
trial_c,physics,1.8582178209476887e-08,1.8554781574197166e-08,1.6861080223166226e-08,1.6955827054351174e-08
trial_c,agent,2.3463884085901675e-08,2.3284116709101486e-08,2.6529621001808804e-08,2.6554398767311472e-08
trial_c,ramp,2.3463884085901675e-08,2.3284116709101486e-08,2.6529621001808804e-08,2.6554398767311472e-08
trial_d,physics,3.714708904842553e-07,3.730205198836624e-07,1.7243408778442757e-07,1.7524043014467672e-07
trial_d,agent,1.8700079052361795e-07,1.863234892927004e-07,3.6572694800482436e-07,3.6177192799697386e-07
trial_d,ramp,1.8700079052361795e-07,1.863234892927004e-07,3.6572694800482436e-07,3.6177192799697386e-07
