trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,6.813700648237139e-10,2.182694240827203e-10,1.3226128435486463e-06,1.5998362603478819e-06
trial_a,agent,6.813700648237139e-10,2.182694240827203e-10,1.3226128435486463e-06,1.5998362603478819e-06
trial_a,ramp,3.2305705946342272e-06,2.4505689432198207e-06,7.371887879540058e-16,5.078546969271334e-14
trial_b,physics,2.2352324027739675e-18,1.39562438124798e-18,4.231099677635917e-06,3.931856592672785e-06
trial_b,agent,2.2352324027739675e-18,1.39562438124798e-18,4.231099677635917e-06,3.931856592672785e-06
trial_b,ramp,2.8385178693667847e-06,3.1485503495002564e-06,1.1398490063448839e-13,1.2481161374020743e-13
trial_c,physics,1.5998362603478819e-06,1.3226128435486463e-06,2.1826942408272074e-10,6.813700648237136e-10
trial_c,agent,5.078546969271309e-14,7.371887879540086e-16,2.4505689432198207e-06,3.2305705946342272e-06
trial_c,ramp,5.078546969271309e-14,7.371887879540086e-16,2.4505689432198207e-06,3.2305705946342272e-06
trial_d,physics,3.931856592672792e-06,4.231099677635922e-06,1.395624381247974e-18,2.2352324027739494e-18
trial_d,agent,1.2481161374020738e-13,1.1398490063448849e-13,3.1485503495002585e-06,2.8385178693667864e-06
trial_d,ramp,1.2481161374020738e-13,1.1398490063448849e-13,3.1485503495002585e-06,2.8385178693667864e-06
