trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,6.79738811223448e-33,3.3974634281169257e-40,2.2262630107615043e-06,9.540025154877796e-06
trial_a,agent,6.79738811223448e-33,3.3974634281169257e-40,2.2262630107615043e-06,9.540025154877796e-06
trial_a,ramp,1.8307379106439993e-05,3.822109624329458e-06,5.74526793816075e-75,2.1198144227056844e-58
trial_b,physics,6.929079217229383e-10,6.284723891989747e-10,2.432041642718709e-06,2.3627944570073084e-06
trial_b,agent,6.929079217229383e-10,6.284723891989747e-10,2.432041642718709e-06,2.3627944570073084e-06
trial_b,ramp,1.6756584960760217e-06,1.8097285458086523e-06,8.876030155064508e-10,9.641156433857853e-10
trial_c,physics,9.540025154877791e-06,2.226263010761508e-06,3.3974634281170452e-40,6.797388112234737e-33
trial_c,agent,2.119814422705436e-58,5.74526793816032e-75,3.822109624329453e-06,1.830737910644e-05
trial_c,ramp,2.119814422705436e-58,5.74526793816032e-75,3.822109624329453e-06,1.830737910644e-05
trial_d,physics,2.3627944570073096e-06,2.432041642718713e-06,6.284723891989743e-10,6.929079217229379e-10
trial_d,agent,9.641156433857865e-10,8.876030155064496e-10,1.809728545808652e-06,1.6756584960760224e-06
trial_d,ramp,9.641156433857865e-10,8.876030155064496e-10,1.809728545808652e-06,1.6756584960760224e-06
