trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,6.06017924694553e-08,4.199326183588896e-08,3.3236710357329496e-07,3.4870938975660785e-07
trial_a,agent,6.06017924694553e-08,4.199326183588896e-08,3.3236710357329496e-07,3.4870938975660785e-07
trial_a,ramp,6.015675132241518e-07,5.741108354098619e-07,9.157210033310282e-09,2.3121275950398817e-08
trial_b,physics,1.986061643102857e-08,1.6436675205146505e-08,1.6086297851107539e-06,1.5848497905058913e-06
trial_b,agent,1.986061643102857e-08,1.6436675205146505e-08,1.6086297851107539e-06,1.5848497905058913e-06
trial_b,ramp,1.2441257232975596e-06,1.2905565670531796e-06,3.7273886741645065e-08,4.081787325329671e-08
trial_c,physics,3.4870938975660785e-07,3.32367103573295e-07,4.199326183588894e-08,6.060179246945528e-08
trial_c,agent,2.312127595039881e-08,9.157210033310282e-09,5.741108354098619e-07,6.015675132241518e-07
trial_c,ramp,2.312127595039881e-08,9.157210033310282e-09,5.741108354098619e-07,6.015675132241518e-07
trial_d,physics,1.5848497905058915e-06,1.608629785110754e-06,1.6436675205146512e-08,1.9860616431028602e-08
trial_d,agent,4.0817873253296704e-08,3.727388674164508e-08,1.2905565670531802e-06,1.24412572329756e-06
trial_d,ramp,4.0817873253296704e-08,3.727388674164508e-08,1.2905565670531802e-06,1.24412572329756e-06
