trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,6.5082103704333056e-15,4.867928764293456e-16,2.2902724113561993e-06,3.4110237997630527e-06
trial_a,agent,6.5082103704333056e-15,4.867928764293456e-16,2.2902724113561993e-06,3.4110237997630527e-06
trial_a,ramp,4.63637161106636e-06,3.5205294553850275e-06,9.203711235711992e-18,1.097554692020812e-16
trial_b,physics,6.775668567489065e-91,1.3234270076983716e-91,1.1701007391429598e-05,9.38593772425588e-06
trial_b,agent,6.775668567489065e-91,1.3234270076983716e-91,1.1701007391429598e-05,9.38593772425588e-06
trial_b,ramp,9.07369145049873e-06,1.1111295920853037e-05,1.403137988536759e-82,5.732989253206949e-83
trial_c,physics,3.411023799763053e-06,2.2902724113561997e-06,4.867928764293462e-16,6.5082103704333355e-15
trial_c,agent,1.0975546920208153e-16,9.203711235712007e-18,3.5205294553850263e-06,4.636371611066361e-06
trial_c,ramp,1.0975546920208153e-16,9.203711235712007e-18,3.5205294553850263e-06,4.636371611066361e-06
trial_d,physics,9.385937724255881e-06,1.1701007391429615e-05,1.3234270076982713e-91,6.775668567488778e-91
trial_d,agent,5.7329892532075595e-83,1.4031379885369e-82,1.1111295920853032e-05,9.073691450498728e-06
trial_d,ramp,5.7329892532075595e-83,1.4031379885369e-82,1.1111295920853032e-05,9.073691450498728e-06
