trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,3.537832183154734e-08,3.510989885166997e-08,4.2683225161156324e-08,4.2800500374560676e-08
trial_a,agent,3.537832183154734e-08,3.510989885166997e-08,4.2683225161156324e-08,4.2800500374560676e-08
trial_a,ramp,6.680362693013318e-08,6.662092805700994e-08,4.909307030392109e-08,4.986225620040717e-08
trial_b,physics,4.7718912661401355e-11,2.603244125425286e-11,3.670032310873829e-06,3.5363358015765576e-06
trial_b,agent,4.7718912661401355e-11,2.603244125425286e-11,3.670032310873829e-06,3.5363358015765576e-06
trial_b,ramp,2.1102466812078733e-06,2.1951003482629003e-06,1.7492600698340123e-09,2.301903262197025e-09
trial_c,physics,4.280050037456068e-08,4.268322516115633e-08,3.510989885166998e-08,3.5378321831547346e-08
trial_c,agent,4.9862256200407184e-08,4.909307030392109e-08,6.662092805700995e-08,6.680362693013318e-08
trial_c,ramp,4.9862256200407184e-08,4.909307030392109e-08,6.662092805700995e-08,6.680362693013318e-08
trial_d,physics,3.5363358015765585e-06,3.670032310873829e-06,2.603244125425288e-11,4.7718912661401304e-11
trial_d,agent,2.3019032621970282e-09,1.7492600698340156e-09,2.1951003482629003e-06,2.1102466812078733e-06
trial_d,ramp,2.3019032621970282e-09,1.7492600698340156e-09,2.1951003482629003e-06,2.1102466812078733e-06
