trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,1.9236300816816646e-08,1.9174846312531922e-08,2.1248035116103138e-08,2.1280149884173175e-08
trial_a,agent,1.9236300816816646e-08,1.9174846312531922e-08,2.1248035116103138e-08,2.1280149884173175e-08
trial_a,ramp,3.074552619536284e-08,3.06995597876458e-08,2.6488404855664833e-08,2.6674115137556647e-08
trial_b,physics,1.3456398174208244e-07,1.280169920977147e-07,6.094709430639795e-07,6.059037430247486e-07
trial_b,agent,1.3456398174208244e-07,1.280169920977147e-07,6.094709430639795e-07,6.059037430247486e-07
trial_b,ramp,5.059471813004379e-07,5.105820964912131e-07,1.4925581395886907e-07,1.5436287709291e-07
trial_c,physics,2.1280149884173175e-08,2.1248035116103138e-08,1.9174846312531916e-08,1.9236300816816642e-08
trial_c,agent,2.6674115137556647e-08,2.6488404855664833e-08,3.06995597876458e-08,3.074552619536284e-08
trial_c,ramp,2.6674115137556647e-08,2.6488404855664833e-08,3.06995597876458e-08,3.074552619536284e-08
trial_d,physics,6.059037430247486e-07,6.094709430639795e-07,1.2801699209771467e-07,1.345639817420824e-07
trial_d,agent,1.5436287709291009e-07,1.4925581395886915e-07,5.105820964912131e-07,5.059471813004379e-07
trial_d,ramp,1.5436287709291009e-07,1.4925581395886915e-07,5.105820964912131e-07,5.059471813004379e-07
