trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,6.115630162202535e-19,2.9341706360400763e-22,2.2119535171658478e-06,5.200528505295597e-06
trial_a,agent,6.115630162202535e-19,2.9341706360400763e-22,2.2119535171658478e-06,5.200528505295597e-06
trial_a,ramp,9.959683352376667e-06,3.9900201967845786e-06,1.2528574806448907e-37,3.206688137481108e-30
trial_b,physics,2.8659815230091207e-08,2.704229981686683e-08,1.41443856532267e-06,1.3833611653999188e-06
trial_b,agent,2.8659815230091207e-08,2.704229981686683e-08,1.41443856532267e-06,1.3833611653999188e-06
trial_b,ramp,1.1157489143432645e-06,1.1824932432363648e-06,3.3391038640692455e-08,3.33550795418972e-08
trial_c,physics,5.200528505295595e-06,2.21195351716585e-06,2.9341706360400853e-22,6.115630162202586e-19
trial_c,agent,3.2066881374809684e-30,1.2528574806448316e-37,3.990020196784587e-06,9.959683352376669e-06
trial_c,ramp,3.2066881374809684e-30,1.2528574806448316e-37,3.990020196784587e-06,9.959683352376669e-06
trial_d,physics,1.3833611653999196e-06,1.4144385653226706e-06,2.7042299816866763e-08,2.8659815230091187e-08
trial_d,agent,3.3355079541897215e-08,3.3391038640692495e-08,1.1824932432363644e-06,1.1157489143432639e-06
trial_d,ramp,3.3355079541897215e-08,3.3391038640692495e-08,1.1824932432363644e-06,1.1157489143432639e-06
