trial,model,choice_1,choice_2,choice_3,choice_4
trial_a,physics,1.0051445785687118e-10,6.06481179479137e-11,1.7121102168938284e-06,1.9983703508794443e-06
trial_a,agent,1.0051445785687118e-10,6.06481179479137e-11,1.7121102168938284e-06,1.9983703508794443e-06
trial_a,ramp,2.796180976433546e-06,2.4576486436709144e-06,1.6752372649520278e-12,4.014964935798317e-12
trial_b,physics,1.362588220065585e-60,8.337670536485522e-62,8.041494172336523e-06,8.122301307967486e-06
trial_b,agent,1.362588220065585e-60,8.337670536485522e-62,8.041494172336523e-06,8.122301307967486e-06
trial_b,ramp,9.221842152939146e-06,9.400091568405305e-06,1.989194997918737e-60,2.823265670708892e-60
trial_c,physics,1.9983703508794443e-06,1.7121102168938278e-06,6.064811794791375e-11,1.0051445785687097e-10
trial_c,agent,4.014964935798299e-12,1.6752372649520148e-12,2.457648643670914e-06,2.7961809764335466e-06
trial_c,ramp,4.014964935798299e-12,1.6752372649520148e-12,2.457648643670914e-06,2.7961809764335466e-06
trial_d,physics,8.12230130796749e-06,8.041494172336539e-06,8.337670536485184e-62,1.3625882200656007e-60
trial_d,agent,2.8232656707089974e-60,1.989194997918815e-60,9.400091568405302e-06,9.221842152939141e-06
trial_d,ramp,2.8232656707089974e-60,1.989194997918815e-60,9.400091568405302e-06,9.221842152939141e-06
