trial,element,model,block_noise_sd,ramp_noise_sd,block_noise_down,ramp_noise_down,block_noise_up,ramp_noise_up,stop_reason,would_keep,final_position
a,black_block,physics,0.23,0.0,-0.10118064264156502,0.0,0.0,0.0,settled,True,1066.0954621667283
a,black_block,ramp,0.23,0.0,0.0,0.0,0.2830725897750098,0.0,settled,True,377.81782727824907
a,black_block,agent,0.23,0.0,-0.22155054876429253,0.0,0.0,0.0,settled,True,1330.3612532393154
a,black_block,physics,0.23,0.0,-0.22155054876429253,0.0,0.0,0.0,settled,True,1330.3612532393154
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.2922484952422623,0.0,settled,True,-265.12020504568903
a,black_block,agent,0.23,0.0,0.15601653242070576,0.0,0.0,0.0,settled,True,891.4351772352423
a,black_block,physics,0.23,0.0,0.15601653242070576,0.0,0.0,0.0,settled,True,891.4351772352423
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.26346394706962584,0.0,settled,True,-86.88577967534783
a,black_block,agent,0.23,0.0,-0.34786995668770804,0.0,0.0,0.0,timeout,True,3324.999385954565
a,black_block,physics,0.23,0.0,-0.34786995668770804,0.0,0.0,0.0,timeout,True,3324.999385954565
a,black_block,ramp,0.23,0.0,0.0,0.0,0.34443566514353097,0.0,settled,True,384.74518494438547
a,black_block,agent,0.23,0.0,-0.2951191134788301,0.0,0.0,0.0,settled,True,1792.711610301162
a,black_block,physics,0.23,0.0,-0.2951191134788301,0.0,0.0,0.0,settled,True,1792.711610301162
a,black_block,ramp,0.23,0.0,0.0,0.0,0.2536650038727859,0.0,settled,True,372.9340268728958
a,black_block,agent,0.23,0.0,0.24873433157423747,0.0,0.0,0.0,settled,True,865.6112019738815
a,black_block,physics,0.23,0.0,0.24873433157423747,0.0,0.0,0.0,settled,True,865.6112019738815
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.232504281556599,0.0,settled,True,33.05039464411511
a,black_block,agent,0.23,0.0,0.07223119421718555,0.0,0.0,0.0,settled,True,922.3916563873021
a,black_block,physics,0.23,0.0,0.07223119421718555,0.0,0.0,0.0,settled,True,922.3916563873021
a,black_block,ramp,0.23,0.0,0.0,0.0,0.15476261706366304,0.0,settled,True,380.2916696782277
a,black_block,agent,0.23,0.0,0.18429779202628185,0.0,0.0,0.0,settled,True,890.9386351757947
a,black_block,physics,0.23,0.0,0.18429779202628185,0.0,0.0,0.0,settled,True,890.9386351757947
a,black_block,ramp,0.23,0.0,0.0,0.0,0.043565822805797356,0.0,settled,True,345.8695729578566
a,black_block,agent,0.23,0.0,0.15722850461630414,0.0,0.0,0.0,settled,True,890.7782910079111
a,black_block,physics,0.23,0.0,0.15722850461630414,0.0,0.0,0.0,settled,True,890.7782910079111
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.2307844479370563,0.0,settled,True,38.358382950400774
a,black_block,agent,0.23,0.0,0.15186805553509036,0.0,0.0,0.0,settled,True,893.0877554367402
a,black_block,physics,0.23,0.0,0.15186805553509036,0.0,0.0,0.0,settled,True,893.0877554367402
a,black_block,ramp,0.23,0.0,0.0,0.0,0.1566359691741898,0.0,settled,True,380.6492528547608
a,black_block,agent,0.23,0.0,0.06714267399551119,0.0,0.0,0.0,settled,True,925.1305878636091
a,black_block,physics,0.23,0.0,0.06714267399551119,0.0,0.0,0.0,settled,True,925.1305878636091
a,black_block,ramp,0.23,0.0,0.0,0.0,0.11362394805491902,0.0,settled,True,369.9470680937023
a,black_block,agent,0.23,0.0,0.018218135580513287,0.0,0.0,0.0,settled,True,958.1547328770987
a,black_block,physics,0.23,0.0,0.018218135580513287,0.0,0.0,0.0,settled,True,958.1547328770987
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.0017252530549358596,0.0,settled,True,326.20844397167053
a,black_block,agent,0.23,0.0,-0.3549626267176834,0.0,0.0,0.0,timeout,True,3766.8837646061284
a,black_block,physics,0.23,0.0,-0.3549626267176834,0.0,0.0,0.0,timeout,True,3766.8837646061284
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.04189417334250956,0.0,settled,True,302.89225369263266
a,black_block,agent,0.23,0.0,-0.18232474552761382,0.0,0.0,0.0,settled,True,1202.0203031350595
a,black_block,physics,0.23,0.0,-0.18232474552761382,0.0,0.0,0.0,settled,True,1202.0203031350595
a,black_block,ramp,0.23,0.0,0.0,0.0,0.10419043809567106,0.0,settled,True,367.2178657215891
a,black_block,agent,0.23,0.0,-0.10621715478282674,0.0,0.0,0.0,settled,True,1073.534714740417
a,black_block,physics,0.23,0.0,-0.10621715478282674,0.0,0.0,0.0,settled,True,1073.534714740417
a,black_block,ramp,0.23,0.0,0.0,0.0,0.027668226115262203,0.0,settled,True,339.4676872819856
a,black_block,agent,0.23,0.0,0.30228068777259315,0.0,0.0,0.0,settled,True,858.0776449225064
a,black_block,physics,0.23,0.0,0.30228068777259315,0.0,0.0,0.0,settled,True,858.0776449225064
a,black_block,ramp,0.23,0.0,0.0,0.0,0.16518049991598727,0.0,settled,True,382.5343739465138
a,black_block,agent,0.23,0.0,-0.12872256872483118,0.0,0.0,0.0,settled,True,1088.6808135719766
a,black_block,physics,0.23,0.0,-0.12872256872483118,0.0,0.0,0.0,settled,True,1088.6808135719766
a,black_block,ramp,0.23,0.0,0.0,0.0,0.22942319155300794,0.0,settled,True,369.03945124247554
a,black_block,agent,0.23,0.0,0.08826119138593425,0.0,0.0,0.0,settled,True,913.1070908281893
a,black_block,physics,0.23,0.0,0.08826119138593425,0.0,0.0,0.0,settled,True,913.1070908281893
a,black_block,ramp,0.23,0.0,0.0,0.0,0.064772799795484,0.0,settled,True,353.5957864033529
a,black_block,agent,0.23,0.0,0.29363424091258766,0.0,0.0,0.0,settled,True,852.0227637583112
a,black_block,physics,0.23,0.0,0.29363424091258766,0.0,0.0,0.0,settled,True,852.0227637583112
a,black_block,ramp,0.23,0.0,0.0,0.0,0.20252085425363722,0.0,settled,True,364.0586404765947
a,black_block,agent,0.23,0.0,0.1311657630149177,0.0,0.0,0.0,settled,True,902.8788433229375
a,black_block,physics,0.23,0.0,0.1311657630149177,0.0,0.0,0.0,settled,True,902.8788433229375
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.048814760853777846,0.0,settled,True,298.5892598373834
a,black_block,agent,0.23,0.0,-0.08607900780344524,0.0,0.0,0.0,settled,True,1045.5105235667584
a,black_block,physics,0.23,0.0,-0.08607900780344524,0.0,0.0,0.0,settled,True,1045.5105235667584
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.33897987437360805,0.0,settled,True,-975.2379856530748
a,black_block,agent,0.23,0.0,-0.13367361890562432,0.0,0.0,0.0,settled,True,1097.1120884255367
a,black_block,physics,0.23,0.0,-0.13367361890562432,0.0,0.0,0.0,settled,True,1097.1120884255367
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.008155924446428544,0.0,settled,True,323.04626943386097
a,black_block,agent,0.23,0.0,0.37432636493455884,0.0,0.0,0.0,settled,True,838.8473298664868
a,black_block,physics,0.23,0.0,0.37432636493455884,0.0,0.0,0.0,settled,True,838.8473298664868
a,black_block,ramp,0.23,0.0,0.0,0.0,0.1957852549748224,0.0,settled,True,388.6524046291836
a,black_block,agent,0.23,0.0,0.08263628608245621,0.0,0.0,0.0,settled,True,916.2034423335871
a,black_block,physics,0.23,0.0,0.08263628608245621,0.0,0.0,0.0,settled,True,916.2034423335871
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.3134276803239441,0.0,settled,True,-479.1244350819618
a,black_block,agent,0.23,0.0,-0.03147689468983607,0.0,0.0,0.0,settled,True,985.0130666610015
a,black_block,physics,0.23,0.0,-0.03147689468983607,0.0,0.0,0.0,settled,True,985.0130666610015
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.10384481250517626,0.0,settled,True,256.6957841697662
a,black_block,agent,0.23,0.0,0.19131369485644178,0.0,0.0,0.0,settled,True,876.6939113057738
a,black_block,physics,0.23,0.0,0.19131369485644178,0.0,0.0,0.0,settled,True,876.6939113057738
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.13462587501474604,0.0,settled,True,224.33156450046735
a,black_block,agent,0.23,0.0,-0.052998015803936295,0.0,0.0,0.0,settled,True,1006.3540757683927
a,black_block,physics,0.23,0.0,-0.052998015803936295,0.0,0.0,0.0,settled,True,1006.3540757683927
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.17638141502315538,0.0,settled,True,162.26785121552578
a,black_block,agent,0.23,0.0,-0.20049606938648903,0.0,0.0,0.0,settled,True,1255.0081365810822
a,black_block,physics,0.23,0.0,-0.20049606938648903,0.0,0.0,0.0,settled,True,1255.0081365810822
a,black_block,ramp,0.23,0.0,0.0,0.0,0.17565172506968332,0.0,settled,True,384.77653021602157
a,black_block,agent,0.23,0.0,0.11218247929556505,0.0,0.0,0.0,settled,True,912.1496701496378
a,black_block,physics,0.23,0.0,0.11218247929556505,0.0,0.0,0.0,settled,True,912.1496701496378
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.1728861216561471,0.0,settled,True,168.10040342192463
a,black_block,agent,0.23,0.0,-0.17987231576549828,0.0,0.0,0.0,settled,True,1195.5632833410687
a,black_block,physics,0.23,0.0,-0.17987231576549828,0.0,0.0,0.0,settled,True,1195.5632833410687
a,black_block,ramp,0.23,0.0,0.0,0.0,0.01869605009883305,0.0,settled,True,335.66521263755453
a,black_block,agent,0.23,0.0,0.09008302996124688,0.0,0.0,0.0,settled,True,912.2902241402277
a,black_block,physics,0.23,0.0,0.09008302996124688,0.0,0.0,0.0,settled,True,912.2902241402277
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.01984832725709551,0.0,settled,True,315.4567999033364
a,black_block,agent,0.23,0.0,-0.13437179593768142,0.0,0.0,0.0,settled,True,1098.342136488958
a,black_block,physics,0.23,0.0,-0.13437179593768142,0.0,0.0,0.0,settled,True,1098.342136488958
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.203831737549209,0.0,settled,True,108.79909332471642
a,black_block,agent,0.23,0.0,-0.14294630539038636,0.0,0.0,0.0,settled,True,1114.0430977933004
a,black_block,physics,0.23,0.0,-0.14294630539038636,0.0,0.0,0.0,settled,True,1114.0430977933004
a,black_block,ramp,0.23,0.0,0.0,0.0,0.13833572108115966,0.0,settled,True,376.39510316572984
a,black_block,agent,0.23,0.0,-0.22554788764249015,0.0,0.0,0.0,settled,True,1346.8554922129072
a,black_block,physics,0.23,0.0,-0.22554788764249015,0.0,0.0,0.0,settled,True,1346.8554922129072
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.06182105218818165,0.0,settled,True,290.0026267508105
a,black_block,agent,0.23,0.0,-0.19798855089675538,0.0,0.0,0.0,settled,True,1247.102341985485
a,black_block,physics,0.23,0.0,-0.19798855089675538,0.0,0.0,0.0,settled,True,1247.102341985485
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.14712070307301153,0.0,settled,True,208.78381825083258
a,black_block,agent,0.23,0.0,-0.21929905388165627,0.0,0.0,0.0,settled,True,1321.4044950004547
a,black_block,physics,0.23,0.0,-0.21929905388165627,0.0,0.0,0.0,settled,True,1321.4044950004547
a,black_block,ramp,0.23,0.0,0.0,0.0,0.016743055891230908,0.0,settled,True,334.78212142226056
a,black_block,agent,0.23,0.0,-0.058615539927685464,0.0,0.0,0.0,settled,True,1012.4503832324968
a,black_block,physics,0.23,0.0,-0.058615539927685464,0.0,0.0,0.0,settled,True,1012.4503832324968
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.07810343701955899,0.0,settled,True,278.18973156170193
a,black_block,agent,0.23,0.0,0.06308536665876548,0.0,0.0,0.0,settled,True,927.6878445514457
a,black_block,physics,0.23,0.0,0.06308536665876548,0.0,0.0,0.0,settled,True,927.6878445514457
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.04568593985932047,0.0,settled,True,300.5611849522707
a,black_block,agent,0.23,0.0,-0.14607594461678355,0.0,0.0,0.0,settled,True,1120.0247313111095
a,black_block,physics,0.23,0.0,-0.14607594461678355,0.0,0.0,0.0,settled,True,1120.0247313111095
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.3897613905765282,0.0,timeout,True,-3482.6169788291936
a,black_block,agent,0.23,0.0,-0.19505336089696326,0.0,0.0,0.0,settled,True,1238.1118753622743
a,black_block,physics,0.23,0.0,-0.19505336089696326,0.0,0.0,0.0,settled,True,1238.1118753622743
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.06578805172592596,0.0,settled,True,287.23779044673466
a,black_block,agent,0.23,0.0,-0.3334701354627619,0.0,0.0,0.0,settled,True,2538.6191836722232
a,black_block,physics,0.23,0.0,-0.3334701354627619,0.0,0.0,0.0,settled,True,2538.6191836722232
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.06976692624327384,0.0,settled,True,284.3929820746148
a,black_block,agent,0.23,0.0,-0.14425789627840535,0.0,0.0,0.0,settled,True,1116.5331017345109
a,black_block,physics,0.23,0.0,-0.14425789627840535,0.0,0.0,0.0,settled,True,1116.5331017345109
a,black_block,ramp,0.23,0.0,0.0,0.0,0.023960916232147935,0.0,settled,True,337.9053737172723
a,black_block,agent,0.23,0.0,-0.15250603534150575,0.0,0.0,0.0,settled,True,1132.5009854880689
a,black_block,physics,0.23,0.0,-0.15250603534150575,0.0,0.0,0.0,settled,True,1132.5009854880689
a,black_block,ramp,0.23,0.0,0.0,0.0,0.1397695952094527,0.0,settled,True,376.6904257979392
a,black_block,agent,0.23,0.0,0.03341170391013363,0.0,0.0,0.0,settled,True,947.2303860939058
a,black_block,physics,0.23,0.0,0.03341170391013363,0.0,0.0,0.0,settled,True,947.2303860939058
a,black_block,ramp,0.23,0.0,0.0,0.0,0.26629505026273237,0.0,settled,True,376.0258260231636
a,black_block,agent,0.23,0.0,0.026426660236119243,0.0,0.0,0.0,settled,True,952.3069565854264
a,black_block,physics,0.23,0.0,0.026426660236119243,0.0,0.0,0.0,settled,True,952.3069565854264
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.19744668034958376,0.0,settled,True,122.60181804951736
a,black_block,agent,0.23,0.0,0.14147404047717085,0.0,0.0,0.0,settled,True,897.9379966226552
a,black_block,physics,0.23,0.0,0.14147404047717085,0.0,0.0,0.0,settled,True,897.9379966226552
a,black_block,ramp,0.23,0.0,0.0,0.0,0.09130825084259084,0.0,settled,True,362.2265176314361
a,black_block,agent,0.23,0.0,-0.10022684441427665,0.0,0.0,0.0,settled,True,1064.710413215352
a,black_block,physics,0.23,0.0,-0.10022684441427665,0.0,0.0,0.0,settled,True,1064.710413215352
a,black_block,ramp,0.23,0.0,0.0,0.0,0.0017652429280745308,0.0,settled,True,327.89384997218673
a,black_block,agent,0.23,0.0,-0.17581480266520852,0.0,0.0,0.0,settled,True,1185.2044719118985
a,black_block,physics,0.23,0.0,-0.17581480266520852,0.0,0.0,0.0,settled,True,1185.2044719118985
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.1749580771169959,0.0,settled,True,164.66760050055032
a,black_block,agent,0.23,0.0,-0.025708634839401216,0.0,0.0,0.0,settled,True,979.6499523075686
a,black_block,physics,0.23,0.0,-0.025708634839401216,0.0,0.0,0.0,settled,True,979.6499523075686
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.2368996520589339,0.0,settled,True,18.946411707452643
a,black_block,agent,0.23,0.0,0.06537711046084466,0.0,0.0,0.0,settled,True,926.2110017733119
a,black_block,physics,0.23,0.0,0.06537711046084466,0.0,0.0,0.0,settled,True,926.2110017733119
a,black_block,ramp,0.23,0.0,0.0,0.0,0.27846152807126845,0.0,settled,True,376.7710523805792
a,black_block,agent,0.23,0.0,0.14298222645518074,0.0,0.0,0.0,settled,True,897.1756082175127
a,black_block,physics,0.23,0.0,0.14298222645518074,0.0,0.0,0.0,settled,True,897.1756082175127
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.008326156710757435,0.0,settled,True,322.9354335514412
a,black_block,agent,0.23,0.0,0.22130928298934016,0.0,0.0,0.0,settled,True,875.3037153627517
a,black_block,physics,0.23,0.0,0.22130928298934016,0.0,0.0,0.0,settled,True,875.3037153627517
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.14584261917989458,0.0,settled,True,210.44946813878767
a,black_block,agent,0.23,0.0,0.09940433411428082,0.0,0.0,0.0,settled,True,907.0944640490749
a,black_block,physics,0.23,0.0,0.09940433411428082,0.0,0.0,0.0,settled,True,907.0944640490749
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.16691387049497516,0.0,settled,True,177.6440411162125
a,black_block,agent,0.23,0.0,-0.3292044285125204,0.0,0.0,0.0,settled,True,2411.2094392745207
a,black_block,physics,0.23,0.0,-0.3292044285125204,0.0,0.0,0.0,settled,True,2411.2094392745207
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.20393132345119774,0.0,settled,True,108.57514023696645
a,black_block,agent,0.23,0.0,-0.13282923983166037,0.0,0.0,0.0,settled,True,1095.6399753310359
a,black_block,physics,0.23,0.0,-0.13282923983166037,0.0,0.0,0.0,settled,True,1095.6399753310359
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.38041611678123044,0.0,timeout,True,-3023.6722364979437
a,black_block,agent,0.23,0.0,-0.11700407668771876,0.0,0.0,0.0,settled,True,1090.3858547469285
a,black_block,physics,0.23,0.0,-0.11700407668771876,0.0,0.0,0.0,settled,True,1090.3858547469285
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.10604301396260733,0.0,settled,True,254.67322407103444
a,black_block,agent,0.23,0.0,0.042524966854303646,0.0,0.0,0.0,settled,True,940.8438919747473
a,black_block,physics,0.23,0.0,0.042524966854303646,0.0,0.0,0.0,settled,True,940.8438919747473
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.06431915639652974,0.0,settled,True,288.2646440332438
a,black_block,agent,0.23,0.0,0.12885258951287742,0.0,0.0,0.0,settled,True,903.6627202744563
a,black_block,physics,0.23,0.0,0.12885258951287742,0.0,0.0,0.0,settled,True,903.6627202744563
a,black_block,ramp,0.23,0.0,0.0,0.0,0.27819870915329614,0.0,settled,True,376.71255329001417
a,black_block,agent,0.23,0.0,0.6909589299379411,0.0,0.0,0.0,settled,True,812.1645092057727
a,black_block,physics,0.23,0.0,0.6909589299379411,0.0,0.0,0.0,settled,True,812.1645092057727
a,black_block,ramp,0.23,0.0,0.0,0.0,0.20028668966940785,0.0,settled,True,363.5416749942555
a,black_block,agent,0.23,0.0,0.010371973732434278,0.0,0.0,0.0,settled,True,964.2926798356884
a,black_block,physics,0.23,0.0,0.010371973732434278,0.0,0.0,0.0,settled,True,964.2926798356884
a,black_block,ramp,0.23,0.0,0.0,0.0,0.126644330532846,0.0,settled,True,373.4326415204085
a,black_block,agent,0.23,0.0,-0.004548875347794706,0.0,0.0,0.0,settled,True,961.8116908667332
a,black_block,physics,0.23,0.0,-0.004548875347794706,0.0,0.0,0.0,settled,True,961.8116908667332
a,black_block,ramp,0.23,0.0,0.0,0.0,0.18656127969471137,0.0,settled,True,386.8651896317794
a,black_block,agent,0.23,0.0,-0.24330463758686238,0.0,0.0,0.0,settled,True,1393.1227508078407
a,black_block,physics,0.23,0.0,-0.24330463758686238,0.0,0.0,0.0,settled,True,1393.1227508078407
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.20412431325602326,0.0,settled,True,108.14114209971477
a,black_block,agent,0.23,0.0,-0.12372341205821258,0.0,0.0,0.0,settled,True,1080.4059829948476
a,black_block,physics,0.23,0.0,-0.12372341205821258,0.0,0.0,0.0,settled,True,1080.4059829948476
a,black_block,ramp,0.23,0.0,0.0,0.0,0.10880073857734456,0.0,settled,True,368.5424834819668
a,black_block,agent,0.23,0.0,0.027959092942648624,0.0,0.0,0.0,settled,True,951.1758999340632
a,black_block,physics,0.23,0.0,0.027959092942648624,0.0,0.0,0.0,settled,True,951.1758999340632
a,black_block,ramp,0.23,0.0,0.0,0.0,-0.0068197572634723725,0.0,settled,True,323.6928063472518
a,black_block,agent,0.23,0.0,0.24313035165793767,0.0,0.0,0.0,settled,True,867.7643609602899
a,black_block,physics,0.23,0.0,0.24313035165793767,0.0,0.0,0.0,settled,True,867.7643609602899
