trial,element,model,block_noise_sd,ramp_noise_sd,block_noise_up,ramp_noise_up,final_position_up,ramp_valid,up_stop_reason
b,blue_ramp,ramp,0.0,0.5,0.0,1.0665922725170331,967.420253994375,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9310644079022743,1018.8434590585322,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6868967871237901,1112.6346228273867,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1612409819881089,938.176024100388,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7213988678576794,1102.69742658871,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1509165711663736,936.8367630783961,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7789303204418766,1066.2537586271596,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.6580746444055232,802.7685936021611,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.3134663884572586,889.0514414083971,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8949182916010718,1027.7739106671659,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.38217762553029,869.267200533633,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8860451366397805,1034.856590187211,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7139329233434447,1101.0681499272514,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8511726213501063,1050.1492648718065,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1513794315544088,936.7009307022562,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.350052130436894,879.746658694159,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0730969263084413,965.7562638394816,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9533479885874179,1004.7100764035279,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.930773453892351,1018.8981253205817,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0751110626595552,965.2473198610244,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.900661344336872,1023.2160961579318,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7992127606179791,1057.7223221674385,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8821920804659584,1037.6993562248006,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7210948210557808,1102.8081980074962,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.718098542221035,1097.5140438425715,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0167035195594973,985.9598801487871,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7260553690782903,1094.596294766719,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7372088266940137,1088.0977071157324,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9949903468027407,986.5317130548382,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.868904991552091,1034.0448880720128,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7283649674944169,1097.9124153681014,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7276242868794824,1096.715684531664,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.887244007328108,1033.8947485459619,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.943444645099444,1012.687012285573,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7536969201708,1078.2188147848606,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8161502322514674,1064.2982054652698,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8381662532619535,1047.2403148119242,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8447119495088462,1042.2500562050989,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0400179042354771,977.1097078167736,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8555411685486022,1036.1365245119023,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7958322212919717,1072.0183193245814,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.070271595721423,966.4790258154895,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.3740121225126816,872.162550078149,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8290244324472725,1054.3899419948452,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9144782299875263,1024.6620736033055,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.784495348031913,1076.016941842568,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8907669292076451,1031.0800508338175,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7045881430521573,1097.1273777928275,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8925176742853833,1029.6857289797174,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6877666505185694,1106.0605557494796,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8449862199942078,1042.0372524682812,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7764941357436764,1068.0124586769728,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7049681109080708,1098.6402135682042,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0604102039427503,970.471857643868,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0383101106090915,978.5196990990378,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8236782223434255,1058.582194739214,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.831569304645467,1052.3997926117104,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7397219808546901,1084.4487597112516,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.2099711967870987,919.755982305033,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9710006197702025,1001.86331187788,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.780106734821886,1065.2934028213647,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9916688237346977,987.3287570102342,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8905952815783861,1031.2167451241191,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0310515600725816,974.5269136500094,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9100335388616445,1015.9779639262888,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6940502306642217,1111.6691728909136,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.974544465204398,998.9956440324762,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7264487586239161,1095.2464862002266,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0900059400200748,955.1454238392034,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.3091534154489897,890.8816561309787,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.767452775739438,1074.6204136409226,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.690956453764821,1114.0420671996658,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9556964105915997,1002.8285351514098,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.80336389391281,1057.1962431272457,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7254866295621655,1093.7083019856448,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1069107022228593,950.3614829223181,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8158135768708946,1064.5660671459384,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.2579991806226285,905.0619241543374,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8776833810315697,1028.788875712019,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7636706229449254,1076.9114724931578,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8431261684523039,1043.3898075834031,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9352740715737997,1006.5863334978561,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8757215222614015,1030.405481730239,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0357849943895636,980.6047241651731,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0533745135524497,966.585714391524,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8165501317901276,1063.9799987540905,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7438072381444667,1089.579357143235,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9351314819933344,1006.610791142439,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8193032473036181,1061.7886049530384,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7503087327563157,1082.4777658202643,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9525419758886446,1005.3580009155708,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8785374078331962,1028.1262804245582,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8764268518334196,1029.8503592324234,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6963314005160587,1111.4538142406975,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1315860383110499,947.2153043487901,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7771192006804595,1067.537678697698,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.4774114676397336,846.7910332083502,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8800228083920579,1027.062171040791,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0898523239773525,955.348815619418,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.707576686604874,1095.8861380256649,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8674589764165088,1034.2551698062243,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7072855872864254,1110.0536942857532,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8119277143299601,1053.9809538188324,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9497616990562299,1007.5931833577242,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7004302585405782,1101.8614853297963,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.2507803476427652,904.723741299347,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.947905876347167,1009.0853902657603,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9091991266913156,1016.6135448500042,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9363928302740625,1006.3749006806808,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.099303476123894,956.393816386847,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.84747693413941,1040.0356380626147,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8516202861880484,1049.7955145186813,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7044698755676273,1111.5757072131912,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6886094388661506,1119.4322112915484,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7973280356052668,1071.8211703772001,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8913266954574985,1030.6342548408757,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1404907170511935,939.9740451050777,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7891820597888191,1072.895185718568,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6919284508227109,1107.8713743986827,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8313096302183828,1052.6029224029885,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9996241008513934,985.5607003043443,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7577556069615753,1076.5922040110847,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7113111335305797,1109.0046163661739,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8313419431005075,1052.5776468269491,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0930664008318423,952.652183266912,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9304011671604258,1018.9680727989328,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1281121159544327,941.7397035995037,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9747486647039397,998.8446992985619,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9049684010951173,1019.8531974627214,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8584427611959575,1035.6032264184068,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9857338567673842,990.4929087382324,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.75741438845856,1076.616654787099,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0116070283459564,979.9093869480406,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9192343350420599,1021.0667547081766,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8629331560045449,1035.007178383231,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7399714949918333,1084.3535595175995,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7500114469113797,1082.8038582443546,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7133922405081613,1100.8717373186223,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1784022462103025,931.6644705423714,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7875644480392293,1073.9516539283484,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.13554942401796,944.137520761435,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.805462686479359,1056.946665059719,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7839706059740902,1076.4307219458337,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1135391271423092,953.5039297345454,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9160137106831658,1023.4445950443506,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.6880366255655312,1114.9868170029317,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.4273366399270961,855.6939236973495,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1360164454115043,943.7445212981108,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0595109667729083,971.208135025888,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9023297557818566,1021.8973461564835,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.458958797517284,846.9906182870725,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9592827860735736,999.968337270668,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7584663518331298,1076.953164058633,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7708809125672448,1072.2168431870462,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1808006477372075,929.5605552310936,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7688863830951879,1073.6286288290075,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7049006406896778,1098.787422064691,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1413761439226,939.637137850104,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0275771536600522,977.3332231141275,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.850784060384848,1050.4563129692206,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9255117601339997,1019.8869681111072,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7379618586545638,1088.831850814964,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7826252658615569,1077.490878048089,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7924051078531759,1072.4703554502316,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.1663763411555845,933.9610178635637,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7079360697655886,1097.4634889875251,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7322443268406598,1085.6908654351103,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.0342779058630007,981.8517546390307,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.3326112443489602,885.3931848839621,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.5007691570167807,840.4316690396978,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.9519841698394577,1005.8063986171372,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.4243715220872484,854.2540992617983,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.7747972384929218,1069.3915640369003,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,0.8142998657383334,1052.2443498616742,False,settled
b,blue_ramp,ramp,0.0,0.5,0.0,1.5110907809710141,838.4509230210173,False,settled
