trial,element,block_noise_sd,ramp_noise_sd,block_noise_down,ramp_noise_down,block_noise_up,ramp_noise_up,final_position_down,final_position_up,agent_valid,physics_valid,ramp_valid
a,black_block,0.225,0.0,0.11950896206676616,0.0,0.8080796107345454,0.0,908.5700785417527,842.3961761983494,True,True,False
a,black_block,0.225,0.0,-0.19855357391390346,0.0,0.8041234658160521,0.0,1248.8692820511,844.7397525479854,True,True,False
b,blue_ramp,0.0,1.5,0.0,0.5922894318467445,0.0,1.252722869501043,966.8726505463153,903.0049591828624,True,True,False
b,blue_ramp,0.0,1.5,0.0,1.8750365716253254,0.0,1.4885659207788604,645.0782051032913,845.2968078071461,False,False,False
b,blue_ramp,0.0,1.5,0.0,1.0042033715789542,0.0,1.651457394486538,894.9846085497325,804.6328585525074,True,True,False
b,blue_ramp,0.0,1.5,0.0,0.7671472687747709,0.0,1.6678760714794811,934.6923227941082,799.7879461877864,True,True,False
b,blue_ramp,0.0,1.5,0.0,3.799618182092161,0.0,1.6707099398274037,645.1026879873152,799.3129161748277,False,False,False
b,blue_ramp,0.0,1.5,0.0,0.33402950963247663,0.0,2.3019750498625173,1007.03842821293,604.6893295544577,True,True,False
b,blue_ramp,0.0,1.5,0.0,0.3493397348336003,0.0,1.450318602885249,1000.6767922550408,848.1970162328188,True,True,False
b,blue_ramp,0.0,1.5,0.0,2.2771386993627303,0.0,0.4267651711357574,645.1007657055683,354.21689177245054,False,False,True
b,blue_ramp,0.0,1.5,0.0,1.4528534376365507,0.0,1.142845016909936,831.0738425378157,939.2057782738647,True,True,False
b,blue_ramp,0.0,1.5,0.0,1.3121590813486144,0.0,0.8135211196142427,847.9857454365127,1052.7562351721815,True,True,False
b,blue_ramp,0.0,1.5,0.0,2.004927732823213,0.0,0.8589386289896407,645.0471078684303,1035.52979391545,False,False,False
b,blue_ramp,0.0,1.5,0.0,3.154552246531029,0.0,0.823922539634242,645.1016719386012,1058.3888751193208,False,False,False
b,blue_ramp,0.0,1.5,0.0,0.33670867351378925,0.0,2.127678123181412,1005.9058133364282,599.8827632538226,True,True,False
b,blue_ramp,0.0,1.5,0.0,1.9750163302913235,0.0,0.5638678886856635,645.1011127891704,436.5953931371808,False,False,True
b,blue_ramp,0.0,1.5,0.0,5.387197404896969,0.0,0.30527917136516425,645.0725679640203,356.9753559344126,False,False,True
b,blue_ramp,0.0,1.5,0.0,2.1998929872465323,0.0,0.7694694575987044,645.1008136491322,1073.2163593553057,False,False,False
b,blue_ramp,0.0,1.5,0.0,2.3952801065615557,0.0,1.4773473623801219,645.1006658278964,846.8721153405779,False,False,False
b,blue_ramp,0.0,1.5,0.0,0.5651566823361768,0.0,2.4326470695533895,966.2162438159964,607.896981696024,True,True,False
b,blue_ramp,0.0,1.5,0.0,0.9560409420777132,0.0,2.5645557534936527,902.332956747411,610.8523459887938,True,True,False
b,blue_ramp,0.0,1.5,0.0,0.5176618969025573,0.0,1.1276223175437692,973.3832753282802,942.0401179527831,True,True,False
b,blue_ramp,0.0,1.5,0.0,2.145520230158085,0.0,0.28765098368071834,645.100814638505,348.38191250050323,False,False,True
b,blue_ramp,0.0,1.5,0.0,0.05645332286728136,0.0,1.4195511080652485,1050.4345377891705,859.241568585679,True,True,False
b,blue_ramp,0.0,1.5,0.0,0.48615024646990457,0.0,3.042672748864824,986.8634796745171,619.584329197008,True,True,False
b,blue_ramp,0.0,1.5,0.0,0.49403057474807144,0.0,0.809940496772233,983.3986534903746,535.2210450055945,True,True,False
b,blue_ramp,0.0,1.5,0.0,1.7760043399468841,0.0,1.054878965656266,645.1696805286408,965.4877735244626,False,False,False
b,blue_ramp,0.0,1.5,0.0,-0.05080024220242822,0.0,3.794918863469576,1073.3149158088293,634.5057076953296,True,True,False
b,blue_ramp,0.0,1.5,0.0,3.7749065674162,0.0,0.7590829694354757,645.102725204246,1077.3448482371602,False,False,False
b,blue_ramp,0.0,1.5,0.0,0.914197074274234,0.0,1.4338155747962988,914.0173288399039,853.2824807962286,True,True,False
b,blue_ramp,0.0,1.5,0.0,-0.08928528379618068,0.0,0.979550942696156,1088.8021915152008,995.0846938846895,True,True,False
b,blue_ramp,0.0,1.5,0.0,1.4331947663858453,0.0,1.416473635676317,831.6918860107759,858.0686007036057,True,True,False
b,blue_ramp,0.0,1.5,0.0,0.7386232801120838,0.0,2.869812132658242,936.9158600303982,616.747725821817,True,True,False
b,blue_ramp,0.0,1.5,0.0,0.5554137995485701,0.0,1.3138658101247707,970.1382473334266,888.8833646932297,True,True,False
