block_noise_sd,ramp_noise_sd,total_failed_attempts,total_successful_records,failure_rate
0.19,1.3,2359,48000,0.04684366250322683
0.19,1.4,2094,48000,0.04180141334291532
0.19,1.5,2149,48000,0.042852300145566215
0.19,1.6,2064,48000,0.04122722914669223
0.19,1.7,1946,48000,0.038962079045369
0.19,1.8,1932,48000,0.038692621965873586
0.19,1.9,1819,48000,0.036512174070133886
0.19,2.0,1673,48000,0.03368026895899181
0.21,0.5,1359,48000,0.027532972710144047
0.21,0.6,1896,48000,0.037999037999038
0.21,0.7,1995,48000,0.039903990399039906
0.21,0.8,2377,48000,0.04718423089902138
0.21,0.9,2398,48000,0.0475812532243343
0.21,1.0,2410,48000,0.04780797460821266
0.21,1.1,2408,48000,0.04777019520710998
0.21,1.2,2359,48000,0.04684366250322683
0.21,1.3,2358,48000,0.04682473489812939
0.21,1.4,2093,48000,0.04178228494999301
0.21,1.5,2148,48000,0.04283321368748504
0.21,1.6,2063,48000,0.04120807782194435
0.21,1.7,1945,48000,0.038942837120832914
0.21,1.8,1931,48000,0.038673369249564396
0.21,1.9,1818,48000,0.036492833915452244
0.21,2.0,1672,48000,0.033660814946046065
0.23,0.5,1360,48000,0.027552674230145867
0.23,0.6,1897,48000,0.03801831773453314
0.23,0.7,1996,48000,0.03992319385550844
0.23,0.8,2378,48000,0.047203144229624044
0.23,0.9,2399,48000,0.04760015079664279
0.23,1.0,2411,48000,0.047826863184622405
0.23,1.1,2409,48000,0.04778908528239005
0.23,1.2,2360,48000,0.04686258935663225
0.23,1.3,2359,48000,0.04684366250322683
0.23,1.4,2094,48000,0.04180141334291532
0.23,1.5,2149,48000,0.042852300145566215
0.23,1.6,2064,48000,0.04122722914669223
0.23,1.7,1946,48000,0.038962079045369
0.23,1.8,1932,48000,0.038692621965873586
0.23,1.9,1819,48000,0.036512174070133886
0.23,2.0,1673,48000,0.03368026895899181
0.25,0.5,1361,48000,0.027572374951885092
0.25,0.6,1898,48000,0.038037596697262414
0.25,0.7,1997,48000,0.03994239654379263
0.25,0.8,2379,48000,0.04722205680938486
0.25,0.9,2400,48000,0.047619047619047616
0.25,1.0,2412,48000,0.04784575101166389
0.25,1.1,2410,48000,0.04780797460821266
0.25,1.2,2361,48000,0.04688151545839042
0.25,1.3,2360,48000,0.04686258935663225
0.25,1.4,2095,48000,0.04182054097215291
0.25,1.5,2150,48000,0.04287138584247258
0.25,1.6,2065,48000,0.0412463797063817
0.25,1.7,1947,48000,0.038981320199411376
0.25,1.8,1933,48000,0.03871187391104079
0.25,1.9,1820,48000,0.03653151344841429
0.25,2.0,1674,48000,0.03369972218867013
0.27,0.5,1363,48000,0.027611774000769806
0.27,0.6,1900,48000,0.03807615230460922
0.27,0.7,1999,48000,0.03998079961599232
0.27,0.8,2381,48000,0.047259879716559816
0.27,0.9,2402,48000,0.047656839014324825
0.27,1.0,2414,48000,0.04788352441782045
0.27,1.1,2412,48000,0.04784575101166389
0.27,1.2,2363,48000,0.046919365407144135
0.27,1.3,2362,48000,0.04690044080854613
0.27,1.4,2097,48000,0.041858793939756875
0.27,1.5,2152,48000,0.04290955495294305
0.27,1.6,2067,48000,0.04128467853076877
0.27,1.7,1949,48000,0.039019800196200126
0.27,1.8,1935,48000,0.03875037548813458
0.27,1.9,1822,48000,0.03657018987595841
0.27,2.0,1676,48000,0.03373862629841372
0.29,0.5,1370,48000,0.027749645533724936
0.29,0.6,1907,48000,0.03821107259502675
0.29,0.7,2006,48000,0.040115186177658683
0.29,0.8,2388,48000,0.04739223624672541
